tenSanPham,giaGoc,giaKhuyenMai,linkAnh,linkSanPham,danhMuc
iPhone 15 Pro Max 256GB,37.990.000,27.990.000,https://shopdunk.com/images/thumbs/0028078_titan-den_550.png,https://shopdunk.com/iphone-15-pro-max,iPhone
iPhone 15 Pro 128GB,28.999.000,26.790.000,https://shopdunk.com/images/thumbs/0019559_titan-xanh_550.jpeg,https://shopdunk.com/iphone-15-pro,iPhone
